,excess_portfolio_return
1999-02-01,-0.0010187872878306245
1999-02-02,-0.0009247029416033368
1999-02-03,0.0044631661685739
1999-02-04,-0.001466891871722
1999-02-05,-0.0044811063591515
1999-02-08,-0.0020657287559678
1999-02-09,-0.0104705320477411
1999-02-10,0.0019454579249519003
1999-02-11,0.013857304027691421
1999-02-12,-0.0040447570303544
1999-02-16,-0.0036107846777408
1999-02-17,-0.0033833253378216
1999-02-18,0.0087177815215675
1999-02-19,0.002919091931217246
1999-02-22,0.0075813681432357
1999-02-23,-0.0009134602642427986
1999-02-24,-0.011674621361219599
1999-02-25,0.0027111101454450003
1999-02-26,0.0006885597211829001
1999-03-01,-0.0020313307825268567
1999-03-02,-0.007288207687526
1999-03-03,-0.0025192934365164997
1999-03-04,0.007740642640975099
1999-03-05,0.0093767175555895
1999-03-08,0.0036680202397899003
1999-03-09,0.0003367834715564
1999-03-10,0.0052005966080383
1999-03-11,0.0065480692271896995
1999-03-12,-0.0027909434026161
1999-03-15,-0.004443519681726
1999-03-16,-0.0068105563602784
1999-03-17,-0.0036627863138442
1999-03-18,0.0069571588752358
1999-03-19,-0.0047142722244631
1999-03-22,0.0003229628608155
1999-03-23,-0.011075756163830351
1999-03-24,-0.0011020342130367
1999-03-25,0.006980861889119111
1999-03-26,-0.0056401942608524
1999-03-29,0.0087823422179895
1999-03-30,-0.0079290084052139
1999-03-31,-0.005212123085106725
1999-04-01,0.0022524340179322
1999-04-05,0.0039338685047491
1999-04-06,0.0008387790787550257
1999-04-07,0.0068253282211097
1999-04-08,0.0058944723062738
1999-04-09,0.0013236036429843
1999-04-12,0.0045833605768118
1999-04-13,-0.0008437917613844
1999-04-14,-0.004915637440027249
1999-04-15,0.0053765963537068
1999-04-16,0.000442910998350497
1999-04-19,1.1528706145100037e-05
1999-04-20,0.002459126238151631
1999-04-21,0.0060067721183846
1999-04-22,0.004606234376434657
1999-04-23,-0.0027601768146293735
1999-04-26,-0.0039248276471332
1999-04-27,0.008517569753060563
1999-04-28,0.00022445478083858714
1999-04-29,0.0055395402600852
1999-04-30,-0.004290446957052627
1999-05-03,0.0070906247934378
1999-05-04,-0.011265549736807
1999-05-05,0.0065776805141586
1999-05-06,-0.0038866928940584997
1999-05-07,0.0013239960504674
1999-05-10,-0.0037996197212902
1999-05-11,0.0011608696001211
1999-05-12,0.00012894233329369998
1999-05-13,0.0074300636443452
1999-05-14,-0.01476223157243
1999-05-17,-0.0038282295151821
1999-05-18,-0.0038635059178645
1999-05-19,0.0028260559075598997
1999-05-20,-0.0005993069088557
1999-05-21,-0.0049832223295088
1999-05-24,-0.0129809934390253
1999-05-25,-0.0099176651672723
1999-05-26,0.0091205508235624
1999-05-27,-0.0145320995318471
1999-05-28,0.0044233946662828
1999-06-01,-0.0027310704318363
1999-06-02,-0.0015665144325303002
1999-06-03,0.0021072513108661
1999-06-04,0.0030288940863079
1999-06-07,0.0065982020100214
1999-06-08,-0.007459922856036
1999-06-09,-0.00418499540595
1999-06-10,-0.00047916874261073547
1999-06-11,-0.0033164362229718
1999-06-14,0.0016517177467597
1999-06-15,-0.0017456988817179
1999-06-16,0.0094069096836459
1999-06-17,0.0062831127579575
1999-06-18,-0.0011892144937291
1999-06-21,-0.00010727316537319996
1999-06-22,-0.0020060015583954
1999-06-23,-0.0015937084217106
1999-06-24,-0.0057593845889603
1999-06-25,0.00029590709231362483
1999-06-28,0.0086641333629842
1999-06-29,0.0068722317331337
1999-06-30,0.009782065800490333
1999-07-01,0.0035512474701361
1999-07-02,0.0034774283520835002
1999-07-06,-0.0072268297482267
1999-07-07,0.0021409731018322002
1999-07-08,-0.0009596754844446
1999-07-09,0.0010197556753845747
1999-07-12,-0.0014672799510538
1999-07-13,-0.004619664270067
1999-07-14,-0.0039838367746750335
1999-07-15,0.004193919574065378
1999-07-16,0.0019295235338683
1999-07-19,-0.0035889833099353
1999-07-20,-0.0074212393628057
1999-07-21,0.0008608483556436001
1999-07-22,-0.0021203449486869
1999-07-23,-0.0033786536970175
1999-07-26,-0.0014495332521555
1999-07-27,0.0053204359911220005
1999-07-28,0.0007694132932135999
1999-07-29,-0.0031897073363108867
1999-07-30,-0.005666670265168
1999-08-02,-0.0025399514763268
1999-08-03,0.0014519403759841
1999-08-04,-0.0034032450093116
1999-08-05,0.0007336201663321999
1999-08-06,-0.007672693095789849
1999-08-09,-0.0014114802685723
1999-08-10,-0.0052899024977257
1999-08-11,0.0103294657064219
1999-08-12,-0.0025946861381516
1999-08-13,0.0108659985349019
1999-08-16,-0.0009958777958417
1999-08-17,0.0081395267768472
1999-08-18,-0.0055228278799737
1999-08-19,-0.0046902991030869
1999-08-20,0.0057018128023914
1999-08-23,0.0031385308800404
1999-08-24,0.0008061802318204538
1999-08-25,-0.00197647775146077
1999-08-26,-0.0066762062396849
1999-08-27,-0.003993170819663091
1999-08-30,-0.0117507570487065
1999-08-31,0.0013853550139103
1999-09-01,0.0013219601940807999
1999-09-02,-0.0031346475359321
1999-09-03,0.0111322578453223
1999-09-07,-0.0040976777797808
1999-09-08,-0.0009269399365751
1999-09-09,-0.00012339709141808032
1999-09-10,0.0003043910365548
1999-09-13,-0.0032426972524406002
1999-09-14,-0.0064057490380608
1999-09-15,-0.0058074895391518
1999-09-16,-3.218533376769999e-05
1999-09-17,0.002798627330425862
1999-09-20,-0.0015548510210946
1999-09-21,-0.00211725234885612
1999-09-22,0.0020897893517633497
1999-09-23,-0.0052917124330705
1999-09-24,0.0029638387136054004
1999-09-27,0.0069511779526401
1999-09-28,0.018756843462721877
1999-09-29,-0.0075407458009713
1999-09-30,0.006647226592079521
1999-10-01,0.0015600920661332
1999-10-04,0.0138669894988694
1999-10-05,-0.0005059388429990296
1999-10-06,0.0070238925184038
1999-10-07,-0.0032334897665969
1999-10-08,0.0044218729383505
1999-10-12,-0.0111792946224685
1999-10-13,-0.007978881864475387
1999-10-14,-0.010261904784069
1999-10-15,-0.013378106676959
1999-10-18,0.0009845016002683
1999-10-19,0.0042449686699629
1999-10-20,0.0074297067105087
1999-10-21,-0.0019615388382292
1999-10-22,0.009608442406702401
1999-10-25,-0.0070182729398697
1999-10-26,-0.0094366115896552
1999-10-27,0.0130844779398707
1999-10-28,0.021807523629425802
1999-10-29,0.001826442570344
1999-11-01,-0.0083168735377574
1999-11-02,0.00017335975297220002
1999-11-03,-0.0007570902828246999
1999-11-04,0.0041276239305983
1999-11-05,0.0021429274601198426
1999-11-08,-0.0036404477834552
1999-11-09,-0.0033972863948946675
1999-11-10,0.0017642374301910999
1999-11-12,0.0049714316753565
1999-11-15,0.00013995103575700004
1999-11-16,0.0095527190907005
1999-11-17,-0.0071821253549936
1999-11-18,0.0035065135812235
1999-11-19,-0.0024905003041183
1999-11-22,-0.00041275970642575736
1999-11-23,-0.0011481181982208569
1999-11-24,-0.0013480661504956769
1999-11-26,-0.0012786109744891
1999-11-29,-0.009845204549057
1999-11-30,0.0006133267923753
1999-12-01,-0.0011050801273138
1999-12-02,-0.0019013726921544
1999-12-03,0.0055285619032887
1999-12-06,-0.0125580131653669
1999-12-07,-0.0007311088129158001
1999-12-08,-0.0046835649361836
1999-12-09,-0.0015222653608897999
1999-12-10,0.0066614495672503
1999-12-13,-0.0019158603479306
1999-12-14,-0.0025101932031342997
1999-12-15,0.00044318487829109995
1999-12-16,-0.0021836838765291
1999-12-17,-0.00039994384553080487
1999-12-20,-0.0028508714548941003
1999-12-21,0.0063517752932312
1999-12-22,0.0008818418763599001
1999-12-23,0.0058737539329494996
1999-12-27,-0.0020726875320503
1999-12-28,0.0014681216791823
1999-12-29,0.007117129876554201
1999-12-30,0.00031573716734129996
1999-12-31,-0.000921481774273764
2000-01-03,-0.009949934294420499
2000-01-04,-0.0212220660038572
2000-01-05,-0.0053484587695666
2000-01-06,0.007715628282373799
2000-01-07,0.0112691417882361
2000-01-10,-0.0039940418466270005
2000-01-11,-0.005151848444015152
2000-01-12,4.333835755273744e-06
2000-01-13,0.008708462588437799
2000-01-14,0.007441606926853113
2000-01-18,-0.0069656993144973
2000-01-19,-0.001930122986512
2000-01-20,-0.0051927785145205
2000-01-21,-0.0023348262231838003
2000-01-24,-0.0085857907306367
2000-01-25,0.0035865708013454
2000-01-26,0.0035572484214925633
2000-01-27,0.0051473397315966
2000-01-28,-0.0169405468885774
2000-01-31,0.0120505503338222
2000-02-01,0.0023042370060844
2000-02-02,-0.0023488169091697
2000-02-03,0.0045932069189751
2000-02-04,0.007542501813446009
2000-02-07,-0.0078809261503736
2000-02-08,0.0065323436203357
2000-02-09,-0.0066540970312136995
2000-02-10,-0.00010756532898229941
